,Answer.ID,FailingMethod,Question.ID,Answer.duration,Answer.confidence,Answer.difficulty,GroundTruth,TP,TN,FN,FP,Answer.option,Answer.order,Answer.explanation,Code.LOC,Code.complexity,Worker.score,Worker.profession,Worker.yearsOfExperience,Worker.age,Worker.gender,Worker.whereLearnedToCode,Worker.country,Worker.programmingLanguage,Answer.explanationComplexity
10,271,0,0,135.377,5,1,0,0,1,0,0,0,2,"The issue has nothing to do with the hours; otherwise it would be lines 276-278 throwing the Exception with ""Hours out of range:-2.""  The issue is from lines 279-281.",1,1,4,0,2.5,24,0,High School;Other Training classes,0,Do not currently use,30
11,272,0,0,47.727,5,1,0,0,1,0,0,0,2,its an integer value from -59 to 59. int seems very appropriate.,1,1,5,1,15.0,39,1,University,4,Python,12
12,273,0,0,72.472,5,3,0,0,1,0,0,0,2,Hour offset is a valid input but it is not related to the exception.,1,1,5,0,8.0,33,0,Web,3,C#,14
13,274,0,0,28.429,4,3,0,0,0,0,1,2,2,The time should not be negative value ,1,1,5,0,3.0,24,0,University;Web,3,Java,8
14,275,0,0,75.028,5,1,0,0,1,0,0,0,2,The issue is with the conditional on line 279; which does not involve the hoursOffset variable.,1,1,3,1,6.0,33,1,High School;University;Other work,4,Java,16
15,276,0,0,21.393,5,5,0,0,1,0,0,0,2,int can be positive or negative; no error,1,1,5,0,10.0,32,0,University;Web,1,php,8
16,277,0,0,59.363,3,2,0,0,1,0,0,0,2,the problem is with the minute variable not the hour,1,1,5,0,7.0,28,0,University,1,visual foxpro,10
17,278,0,0,235.788,5,2,0,0,1,0,0,0,2,If issue is in hoursOffset;we will be getting Exception as a java.lang.IlleagalArgumentException Hours out of range:-2,1,1,3,0,7.0,35,0,University;Other private institute,5,Java,16
18,279,0,0,24.864,5,1,0,0,1,0,0,0,1,This variable definition is perfectly fine.,1,1,5,0,8.0,20,0,High School;University;Web,0,Java; C#,6
19,280,0,0,236.919,5,3,0,0,0,0,1,2,2,The value of hoursoffset variable is lying in an invalid argument zone. hence the conditional statements inside this method will not be invoked and an exception of Invalid Argument will be shown to the user.,1,1,4,0,2.0,24,0,University,6,java; plsql,35
20,441,0,1,140.407,4,3,1,1,0,0,0,2,3,Minutes are set to -15; which is less then 0 and it throws illegal arg exception,1,1,3,1,3.0,49,1,University,4,php,16
21,442,0,1,77.018,5,1,1,0,0,1,0,0,3,The code never gets that far. The problem is at line 279 which prevents a negative minutes value being accepted even though the programmer comments indicate that since version 2.3 negative minutes up to -59 are acceptable. The @throws IllegalArgumentException comment is also referring to versions before 2.3.,1,1,3,0,23.0,44,0,High School;University,1,RPG; Visual Basic,48
22,443,0,1,112.409,5,2,1,1,0,0,0,2,3,In the code there is a check that 0 <= minutes < 60 and the minutesOffset is -15 which does not fall into these prarmeters thus throwing an Exception,1,1,5,0,5.0,20,0,University;Web,1,c#,29
23,444,0,1,76.418,5,1,1,1,0,0,0,2,3,There is a logical check for if minuteOffset is less than 0 or greater than 59 causing it to throw an exception because the value is out of bounds (negative number),1,1,4,0,4.0,19,0,University;Web;Other FIRST Robotics,0,C++,31
24,445,0,1,261.928,5,2,1,1,0,0,0,2,3,"YES. The issue is on line 279 (as I explained in my first question; of which I misunderstood that I was only being asked about the specific issue; not generalized issue). On line 279 the variable ""minutesOffSet"" is parameterized to throw an exception if it is < 0 or > 59. Line 279 should read ""if (minutesOffset < -59 || minutesOffset > 59) {"" because now the method can take in the number of minutes as a negative and will allow the method to properly progress to invoke/call further methods such as those asked about in the two previous questions.",1,1,3,1,1.0,25,1,University,1,java,100
25,446,0,1,236.045,5,1,1,1,0,0,0,2,3,"The variable ""minutesOffset"" is checked incorrectly by the IF statement on line 279. Any negative value for ""minutesOffset"" will throw this exception; while the documentation states that ""minutesOffset"" can be negative in some cases.",1,1,5,0,5.0,29,0,University;Other On the job,1,Python; SQL; Java,34
26,447,0,1,2038.849,4,2,1,0,0,1,0,0,3,Again the issue remains that the parameter check for minutes at line 279 doesn't allow negative numbers  and thus throws the exception.  This needs to be changed to allow up to -59 (but only if hour is positive) if the comments are up to date ... plus possibly later code as well; but certainly that for starters. ,1,1,5,0,30.0,61,0,High School;University;Other Leanred more experts at work,4,none at present; most C and ksh in past; C++;,60
27,448,0,1,259.79,3,3,1,1,0,0,0,2,3,This variable contains a value of -15 as set by DateTimeZone.forOffsetHoursMinutes(-2; -15). Line 279 checks to see if is a valid value; meaning that is between 0 and 59. Since it is not; an exception error is thrown in line 280.,1,1,5,1,1.0,30,1,University,7,none,41
28,449,0,1,230.142,4,3,1,1,0,0,0,2,3,Yes; the variable gets set to -15 through the arguments above. The code specifically encounters the error on line 279 when it tests if minutesOffset < 0; (-15) which is the case; so it throws the error on line 280 : Minutes out of range: with the value provided for that argument -15.,1,1,4,0,4.0,35,0,High School,1,php and C++,53
29,450,0,1,253.302,4,2,1,1,0,0,0,2,2,"As noted in the comments; valid input for minutes must be in the rage -59 to +59 but on line 279 of the source minutesOffset is checked for < 0. Instead it should be minutesOFfset < -59 . Also noted in comments is that versions before 2.3 minutes had to be zero or positive. ""Minutes out of range: + minutesOffset"" is our error.",1,1,5,0,4.0,35,0,University;Web;Other MOOC,1,Java Python,63
30,451,0,1,89.521,4,3,1,1,0,0,0,2,2,"the variable should be defined as ""unsigned int"" if we expect it to be always positive",1,1,5,0,14.0,34,0,High School;University;Web;Other books,8,C++;Object Pascal,16
31,452,0,1,362.489,5,5,1,0,0,1,0,0,2,minutesOffset it is the offset in minutes from UTC; must be between 0 and 59 inclusive ,1,1,5,1,4.0,24,1,University,3,java,17
32,453,0,1,32.16,4,2,1,0,0,1,0,0,2,this is also an int; which is a signed value.,1,1,3,0,15.0,39,0,University;Web,1,Perl; SQL,10
33,454,0,1,47.276,4,4,1,0,0,1,0,0,2,The second argument should be just 15,1,1,5,1,16.0,40,1,University,3,XML; PHP; Java,7
34,455,0,1,161.419,4,4,1,1,0,0,0,2,2,The value of minutes offset does not have valid argument as a result this method will not be called as and argument exception will be displayed.,1,1,5,0,2.0,24,0,University,3,c; c++,26
35,456,0,1,58.673,5,1,1,1,0,0,0,2,2,yep; they are checking if minutesOffset < 0 to throw an exception; and as -15 <0; it gets thrown. looks like they updated the comments but not the code. and this is why comments are evil liars that can't be trusted!,1,1,4,0,25.0,25,0,High School;University;Other forever,1,c++,41
36,457,0,1,129.491,5,1,1,1,0,0,0,2,2,The error is stemming from line 279 because the value of -15 for minutesOffset is < 0. The line should be     if (minutesOffset < -59 || minutesOffset > 59) {,1,1,4,0,9.0,27,0,High School;University;Web,1,c++,34
37,458,0,1,84.408,5,4,1,0,0,1,0,0,2,The definition seems fine to me. ,1,1,4,0,2.0,19,0,University,0,Java,7
38,459,0,1,439.439,4,3,1,0,0,1,0,0,2,There should be no issue with the variable minutesOffset; as it was declared properly and should not be related to the failure when it was being used in the correct manner. minutesOffset is of type int; but it is not being miscalled anywhere in the source code.,1,1,5,0,2.0,19,0,High School;University;Web,0,C++; Java,47
39,460,0,1,32.477,4,4,1,0,0,1,0,0,2,I believe the issue is with hoursOffset not minutes,1,1,5,0,4.0,28,0,Web;Other books,0,javascript,9
40,201,0,2,65.404,5,1,0,0,1,0,0,0,2,The conditional checks if hours and minutes are 0.  This is not true; so the conditional does not come into play.,3,3,4,1,6.0,31,1,University;Web,5,PHP;MySQL,22
41,202,0,2,97.034,5,1,0,0,1,0,0,0,2,Lines 273 to 275 only check to ensure the offsets don't equal zero. These lines don't result in the exception shown above being shown.,3,3,5,0,20.0,25,0,High School;University;Other as long as i can remember honestly,1,c++,24
42,203,0,2,949.159,4,4,0,0,1,0,0,0,2,There is a static field named UTC ;which will return Universal coordinated time,3,3,5,1,4.0,29,1,University,1,java;c,13
43,204,0,2,66.349,5,1,0,0,1,0,0,0,2,The offset values are just being checked for zero values; and the code will pass through.,3,3,3,0,25.0,42,0,High School;University;Web,9,C#; C++,16
44,205,0,2,192.496,5,1,0,0,1,0,0,0,2,The error being thrown is on lines 279-281    Lines 273-275 would be returning the timezone rather then throwing errors,3,3,3,0,5.0,21,0,High School;University,0,Java,22
45,206,0,2,77.641,4,2,0,0,1,0,0,0,2,This shouldn't be causing an out of range error because this is only looking to see if the inputs are 0 so that shouldn't be the issue here.,3,3,5,0,5.0,32,0,University,1,SQL,28
46,207,0,2,68.932,5,1,0,0,1,0,0,0,2,That line just says that if there is no offset; then just return the usual time.,3,3,5,0,1.0,26,0,Web,0,C++,16
47,208,0,2,40.778,5,1,0,0,1,0,0,0,2,The conditional is simply checking if the inputs are both 0; in which case it returns the current time,3,3,4,0,3.0,19,0,High School;University;Web,1,Python; PHP; JAVA,19
48,209,0,2,125.81,4,4,0,0,0,0,1,2,2,"The same problem as the string is trying to sub string a Null value. But wouldn't the "".length() > 0"" part eliminate that issue?    No; calling itemdescription.length() when itemdescription is null would not generate a StringIndexOutOfBoundsException; but rather a NullPointerException since you would essentially be trying to call a method on null.    As others have indicated; StringIndexOutOfBoundsException indicates that itemdescription is not at least 38 characters long. You probably want to handle both conditions (I assuming you want to truncate):  ",3,3,4,1,6.0,31,1,University;Web,5,PHP;MySQL,88
49,210,0,2,46.937,5,2,0,0,1,0,0,0,2,The problem is in line 279; the statement throws an IllegalArgumentException for any minutesOffset less than 0 (i.e. negative offsets).,3,3,4,1,15.0,31,1,Web,1,java; python,20
50,211,0,2,27.755,5,1,0,0,1,0,0,0,2,There is no offset; therefore we can just return the local time.,3,3,4,0,4.0,22,0,University,1,Java; C++,12
51,212,0,2,325.778,5,3,0,0,1,0,0,0,2,There is no error with the conditional clause. It has a valid argument and proper syntax.,3,3,3,0,1.0,27,0,Web,10,Python,16
52,213,0,2,364.273,4,1,0,0,1,0,0,0,2,Those lines of code only determine that if both parameters that are fed into forOffsetHoursMinutes have a 0 value; the function returns UTC; which is exactly the same as no offset. This would seem to be a proper way for the method to function. Since the parameters that are fed into the method are not both 0; the code in that block is not executed and can therefore have nothing to do with the resulting exception.,3,3,5,1,1.0,45,1,University,1,C#,76
53,214,0,2,27.281,4,3,0,0,0,0,1,2,2,shouldn't be negative sign in front of  15,3,3,3,0,2.0,21,0,University,11,java,9
54,215,0,2,34.452,5,2,0,0,1,0,0,0,2,0 is a valid condition here,3,3,3,0,3.0,27,0,University;Web,11,java,6
55,216,0,2,64.934,3,3,0,0,1,0,0,0,2,has nothing to do with the minutes being out of range (just return the date/time if there is no offset),3,3,4,1,3.0,18,1,High School;University,0,C,20
56,217,0,2,84.774,5,1,0,0,1,0,0,0,2,It's a couple simple int;int comparisons and a return statement,3,3,5,0,5.0,34,0,University;Web,1,C#,10
57,218,0,2,97.36,5,1,0,0,1,0,0,0,2,The logic check for an offset of 0 hours and 0 minutes works correctly and is unrelated to this exception.,3,3,5,0,17.0,28,0,Web,1,Java,20
58,219,0,2,144.649,5,5,0,0,1,0,0,0,2,both variables are checked with equality with 0; condition is nothing to do with failure ,3,3,4,0,3.0,26,0,University,1,java;.net,16
59,220,0,2,114.475,5,1,0,0,1,0,0,0,2,"The conditional clause makes sense because the program is checking if any offset was included. The conditional statment being checked will be false for the provided input because hours is not zero (and minutes are not zero; but since it's an ""and"" statement that doesn't matter) so line 274 will not run and it cannot be the source of the problem. ",3,3,5,1,10.0,27,1,High School;University,1,Java,62
60,141,0,3,79.257,1,5,0,0,1,0,0,0,2,These line don't apply. ,3,1,3,0,12.0,28,0,High School;Web,0,HTML,5
61,142,0,3,80.128,5,2,0,0,1,0,0,0,2,hour range is 0 to 23 both positive and negative and a valid check,3,1,5,0,4.0,25,0,University,3,JAVA,14
62,143,0,3,159.549,5,2,0,0,1,0,0,0,2,"This conditional is not satisfied by the input. Plus if this exception were raised the exception message would say ""Hours out of range"" instead of minutes. The exception is coming from line 280.",3,1,5,0,13.0,39,0,Web,9,Python; Elixir,33
63,144,0,3,131.033,5,1,0,0,1,0,0,0,2,No issue on 276 to 278. The error will happen on line 279 when a check for minutesOffset is done. At this point an IllegalArgumentException will be thrown on line 280. ,3,1,5,0,15.0,45,0,High School;University;Web,1,HTML; CSS,32
64,145,0,3,73.867,5,1,0,0,1,0,0,0,2,This error handling code is consistent with the functionality indicated by the comments.,3,1,5,0,20.0,35,0,High School;University,4,c++,13
65,146,0,3,105.483,5,1,0,0,1,0,0,0,2,"The error message states ""Minutes out of range"" yet the code between lines 276-278 state ""Hours out of range."" Looking at the rest of the code; the -15 parameter refers to minutesOffSet so it wasn't being tested.",3,1,5,0,1.0,25,0,University;Web,0,Java,37
66,147,0,3,106.39,5,2,0,0,1,0,0,0,2,The if statement in line 276 allows a negative hourOffset to -23; so a -2 hourOffset that was passed would be acceptable. The exception is thrown at line 280; where the minuteOffset is evaluated.,3,1,4,0,12.0,27,0,High School;University;Web,0,C#; Python,34
67,148,0,3,48.024,5,1,0,0,1,0,0,0,2,As stated in the earlier question; the issue lies in the input. ,3,1,5,0,15.0,29,0,Other Self Help Books,3,VB.Net; SQL,13
68,149,0,3,100.181,5,3,0,0,1,0,0,0,2,No the exception was thrown at line 280 because the minutesOffset passed to the method is < 0.,3,1,4,0,5.0,30,0,University,0,C#,18
69,150,0,3,634.609,2,4,0,0,1,0,0,0,2,"The conditional clause between lines 276 and 278 seem to checking the hour value to determine if it is in the correct range which is between -23 and 23. Since the hour value appears to be valid as the IllegalArgumentException ""Hours out of range"" is not thrown; the issue does not seem to be in these lines.  ",3,1,5,1,1.0,30,1,University,7,none,59
70,151,0,3,94.979,0,5,0,0,0,0,0,1,2,"Actually; I didn't pay close enough attention in the last one. I think that I didn't realize that I'm completely unfamiliar with ""throw"" -- does throw even exist in python? Maybe it does; but I haven't learned about it yet; I'm still not very good at programming..",3,1,3,1,2.0,21,1,University,0,Python,47
71,152,0,3,133.565,4,2,0,0,1,0,0,0,2,The statement in line 276 checks houroffset between -23 and 23.If the value exceeds that limit it will result only  in hour out of range exception.,3,1,4,1,9.0,33,1,University,12,PHP,27
72,153,0,3,472.212,4,4,0,0,1,0,0,0,2,That exception is for minutes out of range while the lines highlighted are for hours. ,3,1,4,0,8.0,19,0,High School;University;Web,11,python,16
73,154,0,3,154.19,5,1,0,0,1,0,0,0,2,The issue is pretty clearly in lines 279-281. You considered -02:15 to be (-2;-15) however your logic is set up so that a negative minute offset throws an illeg arg exception. Either always have the minute offset be positive or change the conditions in that line. Depending on what you choose; make sure you alter lines 285-290 as well. ,3,1,4,0,2.0,21,0,University,1,C,60
74,155,0,3,88.125,5,3,0,0,1,0,0,0,2,This code segment is fine and gives and error message if the user does not follow rules of useage,3,1,5,0,2.0,20,0,University,0,c++,19
75,156,0,3,115.06,4,4,0,0,0,0,1,2,2,there's time mentioned in negative which is out of range for language,3,1,5,0,1.0,25,0,University,3,JAVA,12
76,157,0,3,37.12,4,3,0,0,1,0,0,0,2," if (minutesOffset < 0 || minutesOffset > 59) {              throw new IllegalArgumentException(""Minutes out of range: "" + minutesOffset);          }",3,1,4,1,7.0,32,1,University,1,C;C++;Java,42
77,158,0,3,165.434,5,2,0,0,1,0,0,0,2,Similar to the previous question; lines 276 and 278 did not cause the failure because the failure states that the minutesoffset were out of range (causing an illegal argument exception) while lines 276 and 278 deal solely with the hoursoffset.,3,1,3,1,1.0,18,1,High School,0,java,40
78,159,0,3,264.833,4,2,0,0,1,0,0,0,2,As the value send is -2; the hoursoffset value will not be less than -23 or greater than 23,3,1,5,0,2.0,24,0,University;Web,3,C; java,19
79,160,0,3,97.47,5,1,0,0,1,0,0,0,2,The error message indicates that the failure occurs on line 280.,3,1,5,0,12.0,30,0,High School;University;Web,0,Java,11
80,241,0,4,93.045,4,2,1,0,0,1,0,0,2,The minute variable was negative therefore; it threw the exception because it only takes numbers between 0 and 59 for minutes.,3,2,5,0,7.0,21,0,High School,0,Java; C++; C#,21
81,242,0,4,60.89,5,1,1,1,0,0,0,2,2,the conditional clause throws an error if the value of minutes is smaller than zero,3,2,4,1,10.0,25,1,High School;University;Web,0,c#,15
82,243,0,4,218.695,5,4,1,1,0,0,0,2,2,The argument -15 is less than 0; which causes the if statement conditional on line 279 to pass. This results in the exception on line 280 being thrown. According to the comment block above the method; minutesOffset should be checked for below -59 or above 59.,3,2,5,0,7.0,24,0,High School;University;Web,0,C++;Java;PHP,46
83,244,0,4,42.667,3,5,1,1,0,0,0,2,2,There may be an issue as it involves not indigenous java,3,2,5,1,4.0,27,1,University;Web,3,Java;C++,11
84,245,0,4,93.64,5,1,1,1,0,0,0,2,2,According to the comments; the minute value should be between -59 and +59; but the conditional statement is checking for a value between 0 and 59.,3,2,5,0,20.0,38,0,High School;University;Other On the job,1,C#,26
85,246,0,4,189.911,5,1,1,0,0,1,0,0,2,There is not an issue with this portion of the code; in fact this is where the exception we receive is thrown.  Therefore the issue probably occurs before we reach this part of the code; such as when the arguments are passed into the method.,3,2,3,0,5.0,19,0,High School;University;Web,0,C++; Java,46
86,247,0,4,148.875,5,1,1,1,0,0,0,2,2,Yes; this line is exactly the one that produces the exception when minutesOffset is <0. As minutesOffset; being the second argument in the function; gets the value -15 in the call to DateTimeZone.forOffsetHoursMinutes(-2; -15),3,2,5,0,12.0,40,0,University;Web,2,C++,34
87,248,0,4,141.524,5,1,1,1,0,0,0,2,2,You are passing it a negative offset value (-15) and the conditionals are set to reject any offset that is less than 0 or greater than 59 and throw a new exception.,3,2,4,0,4.0,20,0,University;Web,1,Java; PHP; HTML,32
88,249,0,4,233.341,4,3,1,1,0,0,0,2,2,the code is incomplete. it properly checks for greater than 59 but neglects to take into account if the hours are negative before rejecting minutes for being negative. it would be more correct though not completely to check for less than -59 instead of less than 0,3,2,4,0,35.0,59,0,University;Web;Other self study,1,Euphoria,47
89,250,0,4,137.595,3,5,1,0,0,1,0,0,1,It will return the offset,3,2,4,0,3.0,23,0,University,3,HTML,5
90,251,0,4,40.701,0,5,1,0,0,1,0,1,1,am not good in thus questanaire,3,2,3,0,2.0,26,0,University;Web,1,java,6
91,252,0,4,271.58,5,1,1,1,0,0,0,2,1,"Line 279 written as ""minutesOffset < 0"" makes it clear it's the one throwing the Exception; as the -15 in the minutes spot is clearly less than 0.",3,2,4,0,2.5,24,0,High School;Other Training classes,0,Do not currently use,28
92,253,0,4,138.806,5,1,1,1,0,0,0,2,1,this cause assumes all negative minutes are bad. from the comment; negative minutes are ok when the hours are negative too. the comments specifically say its bad when the mins are negative but the hours are positive. there is a line break in the middle of that part of the comment which could lead a programmer to miss half of the info.,3,2,5,1,15.0,39,1,University,4,Python,62
93,254,0,4,155.351,5,3,1,1,0,0,0,2,1,"Yes ; this conditional clause is exactly the place from where the exception is thrown ; because it is not in valid range of ""minutes""",3,2,5,0,8.0,33,0,Web,3,C#,25
94,255,0,4,32.826,4,3,1,1,0,0,0,2,1,It's because of second line negative value.,3,2,5,0,3.0,24,0,University;Web,3,Java,7
95,256,0,4,50.738,5,1,1,1,0,0,0,2,1,This conditional will reject any negative minute input; even if the hour input is also negative.,3,2,3,1,6.0,33,1,High School;University;Other work,4,Java,16
96,257,0,4,35.532,5,1,1,1,0,0,0,2,1,This is the argument exception thrown.,3,2,5,0,10.0,32,0,University;Web,1,php,6
97,258,0,4,39.864,5,1,1,1,0,0,0,2,1,-15 is less then 0; so it throws IllegalArgumentException,3,2,5,0,7.0,28,0,University,1,visual foxpro,9
98,259,0,4,644.626,5,2,1,1,0,0,0,2,1,Value passed in minutes -15;where as it checks (<0 | >53).,3,2,3,0,7.0,35,0,University;Other private institute,5,Java,11
99,260,0,4,542.43,5,4,1,0,0,1,0,0,1,DateTimeZone.forOffsetHoursMinutes(-2; -15) is an invalid argument so it will directly throw an exception. Hence there is no issue between the conditional statement.,3,2,4,0,2.0,24,0,University,6,java; plsql,22
100,381,0,5,323.388,1,3,0,0,1,1,0,0,2,I don't think it ever goes that far into code to cause an issue because if statement checks if minutes are less then 0 or greater then 59 and -15 is less then 0,1,1,3,1,3.0,49,1,University,4,php,34
101,382,0,5,27.038,5,1,0,0,1,1,0,0,2,The problem is at line 279 which prevents a negative minutes value being accepted even though the programmer comments indicate that since version 2.3 negative minutes up to -59 are acceptable. The @throws IllegalArgumentException comment is also referring to versions before 2.3.,1,1,3,0,23.0,44,0,High School;University,1,RPG; Visual Basic,42
102,383,0,5,118.128,5,1,0,0,1,1,0,0,2,This is a variable used to calculate the offset; and the error is happening above this,1,1,5,0,5.0,20,0,University;Web,1,c#,16
103,384,0,5,109.986,5,1,0,0,1,1,0,0,2,offset is not even reached before the IllegalArgumentException is thrown,1,1,4,0,4.0,19,0,University;Web;Other FIRST Robotics,0,C++,10
104,385,0,5,248.427,3,2,0,1,0,0,1,2,2,"As I seem to have misunderstood the previous question; for the sake of consistency; I will declare Yes; there is an issue BUT No; it is not with the variable ""offset"". The issue can be attributed to line 279 because the variable ""minutesOffSet"" is still parameterized to throw an exception if it is < 0; rather it should be: < -59 to correct this issue.",1,1,3,1,1.0,25,1,University,1,java,65
105,386,0,5,761.08,4,2,0,0,1,1,0,0,2,we never get to line 282 as the exeception is thrown due to minutes being negative at line 280 ... as in first part; comments and code are at odds.,1,1,5,0,30.0,61,0,High School;University;Other Leanred more experts at work,4,none at present; most C and ksh in past; C++;,30
106,387,0,5,92.21,5,1,0,0,1,1,0,0,2,"The problem is on line 279 where the minutes are checked. The value ""-15"" makes the IF statement true; and the exception is thrown. The variable ""offset"" is unrelated to this failure.",1,1,5,0,5.0,29,0,University;Other On the job,1,Python; SQL; Java,32
107,388,0,5,382.065,2,4,0,0,1,1,0,0,2,This error occurs will likely occur if the minute value is too large or too small. When the DateTimeZone method is called; it checks to see if the minute is less than zero or greater than 59 in line 279. Since this value is less than zero; it throws the illegal IllegalArgumentException error in line 280.,1,1,5,1,1.0,30,1,University,7,none,56
108,389,0,5,239.883,4,3,0,0,1,1,0,0,2,If there was; there would be a different error thrown (Millis out of range). The error gets thrown before it even gets to the offset definition.,1,1,4,0,4.0,35,0,High School,1,php and C++,26
109,390,0,5,181.988,4,2,0,0,1,1,0,0,1,offset is simply being initilized to zero; it will later be set to the result of: FieldUtils.safeMultiply(minutesOffset; DateTimeConstants.MILLIS_PER_MINUTE);,1,1,5,0,4.0,35,0,University;Web;Other MOOC,1,Java Python,18
110,391,0,5,51.389,5,2,0,0,1,1,0,0,1,exceeption is raised at line 280,1,1,5,0,14.0,34,0,High School;University;Web;Other books,8,C++;Object Pascal,6
111,392,0,5,490.56,5,4,0,0,1,1,0,0,1,we need to declaration of offset value as 0 & it can be declared  anywhere within the java program,1,1,5,1,4.0,24,1,University,3,java,20
112,393,0,5,46.879,4,2,0,0,1,1,0,0,1,Java ints are signed.,1,1,3,0,15.0,39,0,University;Web,1,Perl; SQL,4
113,394,0,5,292.521,5,5,0,0,1,1,0,0,1,its only an argument exception and the argument given is a constant,1,1,5,1,16.0,40,1,University,3,XML; PHP; Java,12
114,395,0,5,613.23,4,3,0,1,0,0,1,2,1,Yes there could be an issue with the parameters passed it will finally give answer millis out of range,1,1,5,0,2.0,24,0,University,3,c; c++,19
115,396,0,5,63.927,5,1,0,0,1,1,0,0,1,nope; it's fine. i dont personally like the name of it though.,1,1,4,0,25.0,25,0,High School;University;Other forever,1,c++,12
116,397,0,5,250.579,5,1,0,0,1,1,0,0,1,Once again the program doesn't get to this point because of the arguments.,1,1,4,0,9.0,27,0,High School;University;Web,1,c++,13
117,398,0,5,71.587,4,5,0,1,0,0,1,2,1,the offset variable is still zero; making it out of range,1,1,4,0,2.0,19,0,University,0,Java,11
118,399,0,5,98.287,4,2,0,0,1,1,0,0,1,"The variable definition for ""offset"" is appropriate; and has (to my knowledge) no impact on why the code threw out the failure outlined above because the variable itself is defined below where the code threw out the failure.",1,1,5,0,2.0,19,0,High School;University;Web,0,C++; Java,38
119,400,0,5,60.73,4,3,0,1,0,0,1,2,1,I believe the error is in the offset described in hours in line 284,1,1,5,0,4.0,28,0,Web;Other books,0,javascript,14
120,181,0,6,289.349,5,2,0,0,1,0,0,0,1,The issue occurs before this point in the code. The javadoc says it accepts negative minutes; but it's hard coded to throw the exception if minutesOffset is negative.,1,1,4,1,6.0,31,1,University;Web,5,PHP;MySQL,28
121,182,0,6,222.082,4,2,0,0,0,0,1,2,1,In the comment in the source code it says that the minutes value must be in the range -59 to +59. However; in the code it throws an exception if the minutes value is less than 0. It should only throw an exception if the minutes value is less than -59; not less than 0.,1,1,5,0,20.0,25,0,High School;University;Other as long as i can remember honestly,1,c++,55
122,183,0,6,416.662,5,3,0,0,0,0,1,2,1,Illegal argument exception is thrown if the id is not recognised -02:15 is not recognised,1,1,5,1,4.0,29,1,University,1,java;c,15
123,184,0,6,368.5,5,2,0,0,1,0,0,0,1,No - it is working as it should; the offset should be a negative given the desired result.,1,1,3,0,25.0,42,0,High School;University;Web,9,C#; C++,18
124,185,0,6,523.026,5,2,0,0,1,0,0,0,1,"On line 279: When calling ""DateTimeZone.forOffsetHoursMinutes(-2; -15));"" the ""-15"" minutesOffset is out of range of the if statement ""if (minutesOffset < 0 || minutesOffset > 59)"" thus throwing the error.    The variable horusInMinutes is unrelated to the error that is being thrown as it hasn't even been initiated prior to the Illegal Argument Exception",1,1,3,0,5.0,21,0,High School;University,0,Java,57
125,186,0,6,73.235,5,2,0,0,1,0,0,0,1,This is an integer being defined as another integer multiplied by 60. This looks fine.,1,1,5,0,5.0,32,0,University,1,SQL,15
126,187,0,6,243.156,3,3,0,0,0,0,1,2,1,In line 279; negative values of minutesOffset will automatically throw an exception.,1,1,5,0,1.0,26,0,Web,0,C++,12
