Answer.ID,FailingMethod,Question.ID,Answer.duration,Answer.confidence,Answer.difficulty,GroundTruth,TP,TN,FN,FP,Answer.option,Answer.order,Answer.explanation,Code.LOC,Code.complexity,Worker.ID,Worker.score,Worker.profession,Worker.yearsOfExperience,Worker.age,Worker.gender,Worker.whereLearnedToCode,Worker.country,Worker.programmingLanguage
271,HIT01_8,0,135.377,5,1,0,0,1,0,0,NO,2,"The issue has nothing to do with the hours; otherwise it would be lines 276-278 throwing the Exception with ""Hours out of range:-2.""  The issue is from lines 279-281.",1,1,1456eI-3g8a-22-2:488gG-7E2G-8-68,4,Other,2.5,24,Male,High School;Other Training classes,United States,Do not currently use
272,HIT01_8,0,47.727,5,1,0,0,1,0,0,NO,2,its an integer value from -59 to 59. int seems very appropriate.,1,1,1471CA8i0C-225,5,Other,15,39,Female,University,US,Python
273,HIT01_8,0,72.472,5,3,0,0,1,0,0,NO,2,Hour offset is a valid input but it is not related to the exception.,1,1,1504ic8g0I130:312cI-5a9I-1-82:10eG-8i5a-618,5,Professional_Developer,8,33,Male,Web,India,C#
274,HIT01_8,0,28.429,4,3,0,0,0,0,1,YES,2,The time should not be negative value ,1,1,1520Ea3c0E3-65:9AI0g4a-386,5,Graduate_Student,3,24,Male,University;Web,India,Java
275,HIT01_8,0,75.028,5,1,0,0,1,0,0,NO,2,The issue is with the conditional on line 279; which does not involve the hoursOffset variable.,1,1,172Cg2C7i-8-1-4,3,Graduate_Student,6,33,Female,High School;University;Other work,US,Java
276,HIT01_8,0,21.393,5,5,0,0,1,0,0,NO,2,int can be positive or negative; no error,1,1,15GG-1G-6I44-8:1540CE2g-7G26-4,5,Professional_Developer,10,32,Male,University;Web,USA,php
277,HIT01_8,0,59.363,3,2,0,0,1,0,0,NO,2,the problem is with the minute variable not the hour,1,1,1569GA-9C0a903,5,Professional_Developer,7,28,Male,University,USA,visual foxpro
278,HIT01_8,0,235.788,5,2,0,0,1,0,0,NO,2,If issue is in hoursOffset;we will be getting Exception as a java.lang.IlleagalArgumentException Hours out of range:-2,1,1,1558IC6A2G07-8,3,Professional_Developer,7,35,Male,University;Other private institute,INDIA,Java
279,HIT01_8,0,24.864,5,1,0,0,1,0,0,NO,1,This variable definition is perfectly fine.,1,1,1593eE-3a2g273,5,Undergraduate_Student,8,20,Male,High School;University;Web,United States,Java; C#
280,HIT01_8,0,236.919,5,3,0,HIT01_80,1,0,NO,3,The code never gets that far. The problem is at line 279 which prevents a negative minutes value being accepted even though the programmer comments indicate that since version 2.3 negative minutes up to -59 are acceptable. The @throws IllegalArgumentException comment is also referring to versions before 2.3.,1,1,27Ei-8i0A-3-59:15cG-7i7C996,3,Professional_Developer,23,44,Male,High School;University,USA,RPG; Visual Basic
443,HIT01_8,1,112.409,5,2,1,1,0,0,0,YES,3,In the code there is a check that 0 <= minutes < 60 and the minutesOffset is -15 which does not fall into these prarmeters thus throwing an Exception,1,1,286Ig-9C0E170,5,Undergraduate_Student,5,20,Male,University;Web,USA,c#
444,HIT01_8,1,76.418,5,1,1,1,0,0,0,YES,3,There is a logical check for if minuteOffset is less than 0 or greater than 59 causing it to throw an exception because the value is out of bounds (negative number),1,1,1221iC8A5A242:495CC9e6a691:11aE2c-4c-9-86,4,Undergraduate_Student,4,19,Male,University;Web;Other FIRST Robotics,United States,C++
445,HIT01_8,1,261.928,5,2,1,1,0,0,0,YES,3,"YES. The issue is on line 279 (as I explained in my first question; of which I misunderstood that I was only being asked about the specific issue; not generalized issue). On line 279 the variable ""minutesOffSet"" is parameterized to throw an exception if it is < 0 or > 59. Line 279 should read ""if (minutesOffset < -59 || minutesOffset > 59) {"" because now the method can take in the number of minutes as a negative and will allow the method to properly progress to invoke/call further methods such as those asked about in the two previous questions.",1,1,555aC0a8e4-8-3:535CE8A-5e-95-2,3,Graduate_Student,1,25,Female,University,USA,java
446,HIT01_8,1,236.045,5,1,1,1,0,0,0,YES,3,"The variable ""minutesOffset"" is checked incorrectly by the IF statement on line 279. Any negative value for ""minutesOffset"" will throw this exception; while the documentation states that ""minutesOffset"" can be negative in some cases.",1,1,815aA-9g-4e44-8:182Ae3g-6i-30-5,5,Professional_Developer,5,29,Male,University;Other On the job,USA,Python; SQL; Java
447,HIT01_8,1,2038.849,4,2,1,0,0,1,0,NO,3,Again the issue remains that the parameter check for minutes at line 279 doesn't allow negative numbers  and thus throws the exception.  This needs to be changed to allow up to -59 (but only if hour is positive) if the comments are up to date ... plus possibly later code as well; but certainly that for starters. ,1,1,67AI-8G5A71-3:163Aa0i0a963:161eg5c5I-649,5,Other,30,61,Male,High School;University;Other Leanred more experts at work,US,none at present; most C and ksh in past; C++;
448,HIT01_8,1,259.79,3,3,1,1,0,0,0,YES,3,This variable contains a value of -15 as set by DateTimeZone.forOffsetHoursMinutes(-2; -15). Line 279 checks to see if is a valid value; meaning that is between 0 and 59. Since it is not; an exception error is thrown in line 280.,1,1,78cA-9e4a2-6-7,5,Hobbyist,1,30,Female,University,united states,none
449,HIT01_8,1,230.142,4,3,1,1,0,0,0,YES,3,Yes; the variable gets set to -15 through the arguments above. The code specifically encounters the error on line 279 when it tests if minutesOffset < 0; (-15) which is the case; so it throws the error on line 280 : Minutes out of range: with the value provided for that argument -15.,1,1,1449GA0I-4C14-1,4,Undergraduate_Student,4,35,Male,High School,USA,php and C++
450,HIT01_8,1,253.302,4,2,1,1,0,0,0,YES,2,"As noted in the comments; valid input for minutes must be in the rage -59 to +59 but on line 279 of the source minutesOffset is checked for < 0. Instead it should be minutesOFfset < -59 . Also noted in comments is that versions before 2.3 minutes had to be zero or positive. ""Minutes out of range: + minutesOffset"" is our error.",1,1,41eI0e3i-806:568Ae7g8c-7-1-2,5,Hobbyist,4,35,Male,University;Web;Other MOOC,USA,Java Python
451,HIT01_8,1,89.521,4,3,1,1,0,0,0,YES,2,"the variable should be defined as ""unsigned int"" if we expect it to be always positive",1,1,1523iA8C4C-602,5,Professional_Developer,14,34,Male,High School;University;Web;Other books,Russia,C++;Object Pascal
452,HIT01_8,1,362.489,5,5,1,0,0,1,0,NO,2,minutesOffset it is the offset in minutes from UTC; must be between 0 and 59 inclusive ,1,1,1517gG7e-9a5-12:13EE-9c-7e880,5,Graduate_Student,4,24,Female,University,India,java
453,HIT01_8,1,32.16,4,2,1,0,0,1,0,NO,2,this is also an int; which is a signed value.,1,1,1568aA-4c6i-106:505iC4e-2c-439,3,Professional_Developer,15,39,Male,University;Web,USA,Perl; SQL
454,HIT01_8,1,47.276,4,4,1,0,0,1,0,NO,2,The second argument should be just 15,1,1,1524GC-4c-6e84-1,5,Professional_Developer,16,40,Female,University,India,XML; PHP; Java
455,HIT01_8,1,161.419,4,4,1,1,0,0,0,YES,2,The value of minutes offset does not have valid argument as a result this method will not be called as and argument exception will be displayed.,1,1,1573Ic-9c3a-7-13,5,Graduate_Student,2,24,Male,University,India,c; c++
456,HIT01_8,1,58.673,5,1,1,1,0,0,0,YES,2,yep; they are checking if minutesOffset < 0 to throw an exception; and as -15 <0; it gets thrown. looks like they updated the comments but not the code. and this is why comments are evil liars that can't be trusted!,1,1,1598AG0g-8e-9-32,4,Professional_Developer,25,25,Male,High School;University;Other forever,USA,c++
457,HIT01_8,1,129.491,5,1,1,1,0,0,0,YES,2,The error is stemming from line 279 because the value of -15 for minutesOffset is < 0. The line should be     if (minutesOffset < -59 || minutesOffset > 59) {,1,1,83gE-9E9a-176:1609ca8I0E-894,4,Undergraduate_Student,9,27,Male,High School;University;Web,USA,c++
458,HIT01_8,1,84.408,5,4,1,0,0,1,0,NO,2,The definition seems fine to me. ,1,1,1587ee-3A7e8-7-2,4,Undergraduate_Student,2,19,Male,University,United States,Java
459,HIT01_8,1,439.439,4,3,1,0,0,1,0,NO,2,There should be no issue with the variable minutesOffset; as it was declared properly and should not be related to the failure when it was being used in the correct manner. minutesOffset is of type int; but it is not being miscalled anywhere in the source code.,1,1,48AI-2e-3i700:595II-6A9A7-4-4,5,Undergraduate_Student,2,19,Male,High School;University;Web,United States,C++; Java
460,HIT01_8,1,32.477,4,4,1,0,0,1,0,NO,2,I believe the issue is with hoursOffset not minutes,1,1,100iI-7A-7g-505:15ge-4I9c-31-7,5,Hobbyist,4,28,Male,Web;Other books,United States,javascript
201,HIT01_8,2,65.404,5,1,0,0,1,0,0,NO,2,The conditional checks if hours and minutes are 0.  This is not true; so the conditional does not come into play.,3,3,23EE-1c8E1-7-2:16eA-3g-9A-7-5-3,4,Professional_Developer,6,31,Female,University;Web,INDIA,PHP;MySQL
202,HIT01_8,2,97.034,5,1,0,0,1,0,0,NO,2,Lines 273 to 275 only check to ensure the offsets don't equal zero. These lines don't result in the exception shown above being shown.,3,3,270ie-2C-4c-550:97ai0I-8C871,5,Professional_Developer,20,25,Male,High School;University;Other as long as i can remember honestly,USA,c++
203,HIT01_8,2,949.159,4,4,0,0,1,0,0,NO,2,There is a static field named UTC ;which will return Universal coordinated time,3,3,519CE-1a-8G700:117Ec-7c4a-50-9:93Ce-7c-8i-69-4,5,Professional_Developer,4,29,Female,University,USA,java;c
204,HIT01_8,2,66.349,5,1,0,0,1,0,0,NO,2,The offset values are just being checked for zero values; and the code will pass through.,3,3,94iC8I-7g2-6-9:176ac-2C-6e7-94,3,Professional_Developer,25,42,Male,High School;University;Web,United States of America,C#; C++
205,HIT01_8,2,192.496,5,1,0,0,1,0,0,NO,2,The error being thrown is on lines 279-281    Lines 273-275 would be returning the timezone rather then throwing errors,3,3,941eE-4G9i-56-4:283Aa7E0I474,3,Undergraduate_Student,5,21,Male,High School;University,United States,Java
206,HIT01_8,2,77.641,4,2,0,0,1,0,0,NO,2,This shouldn't be causing an out of range error because this is only looking to see if the inputs are 0 so that shouldn't be the issue here.,3,3,358ig-7C7C5-1-2:10EI0c-3A0-3-9,5,Professional_Developer,5,32,Male,University,USA,SQL
207,HIT01_8,2,68.932,5,1,0,0,1,0,0,NO,2,That line just says that if there is no offset; then just return the usual time.,3,3,494gg-5i2I0-76,5,Graduate_Student,1,26,Male,Web,United States,C++
208,HIT01_8,2,40.778,5,1,0,0,1,0,0,NO,2,The conditional is simply checking if the inputs are both 0; in which case it returns the current time,3,3,562iC0e2c-7-5-1,4,Undergraduate_Student,3,19,Male,High School;University;Web,USA,Python; PHP; JAVA
209,HIT01_8,2,125.81,4,4,0,0,0,0,1,YES,2,"The same problem as the string is trying to sub string a Null value. But wouldn't the "".length() > 0"" part eliminate that issue?    No; calling itemdescription.length() when itemdescription is null would not generate a StringIndexOutOfBoundsException; but rather a NullPointerException since you would essentially be trying to call a method on null.    As others have indicated; StringIndexOutOfBoundsException indicates that itemdescription is not at least 38 characters long. You probably want to handle both conditions (I assuming you want to truncate):  ",3,3,892CA6a-8c802:759GA-8a-5a-285,4,Professional_Developer,6,31,Female,University;Web,INDIA,PHP;MySQL
210,HIT01_8,2,46.937,5,2,0,0,1,0,0,NO,2,The problem is in line 279; the statement throws an IllegalArgumentException for any minutesOffset less than 0 (i.e. negative offsets).,3,3,96CE1c7G35-1:591ga-7E0E9-88,4,Hobbyist,15,31,Female,Web,USA,java; python
211,HIT01_8,2,27.755,5,1,0,0,1,0,0,NO,2,There is no offset; therefore we can just return the local time.,3,3,307Cg-5C7a4-4-3:881AI5C9I3-85,4,Professional_Developer,4,22,Male,University,USA,Java; C++
212,HIT01_8,2,325.778,5,3,0,0,1,0,0,NO,2,There is no error with the conditional clause. It has a valid argument and proper syntax.,3,3,19cI3G-7E-6-6-2,3,Other,1,27,Male,Web,Sri Lanka,Python
213,HIT01_8,2,364.273,4,1,0,0,1,0,0,NO,2,Those lines of code only determine that if both parameters that are fed into forOffsetHoursMinutes have a 0 value; the function returns UTC; which is exactly the same as no offset. This would seem to be a proper way for the method to function. Since the parameters that are fed into the method are not both 0; the code in that block is not executed and can therefore have nothing to do with the resulting exception.,3,3,87gg-4A6E-40-7,5,Hobbyist,1,45,Female,University,USA,C#
214,HIT01_8,2,27.281,4,3,0,0,0,0,1,YES,2,shouldn't be negative sign in front of  15,3,3,1445ca0A-2a-819,3,Undergraduate_Student,2,21,Male,University,usa,java
215,HIT01_8,2,34.452,5,2,0,0,1,0,0,NO,2,0 is a valid condition here,3,3,1475GI2G-2E055,3,Undergraduate_Student,3,27,Male,University;Web,usa,java
216,HIT01_8,2,64.934,3,3,0,0,1,0,0,NO,2,has nothing to do with the minutes being out of range (just return the date/time if there is no offset),3,3,1497Ia5a4a-185,4,Undergraduate_Student,3,18,Female,High School;University,United States,C
217,HIT01_8,2,84.774,5,1,0,0,1,0,0,NO,2,It's a couple simple int;int comparisons and a return statement,3,3,1516AC-8a0i-123,5,Hobbyist,5,34,Male,University;Web,USA,C#
218,HIT01_8,2,97.36,5,1,0,0,1,0,0,NO,2,The logic check for an offset of 0 hours and 0 minutes works correctly and is unrelated to this exception.,3,3,1521AI-8g4A-1-63,5,Undergraduate_Student,17,28,Male,Web,USA,Java
219,HIT01_8,2,144.649,5,5,0,0,1,0,0,NO,2,both variables are checked with equality with 0; condition is nothing to do with failure ,3,3,1518CC2g5I-319,4,Graduate_Student,3,26,Male,University,USA,java;.net
220,HIT01_8,2,114.475,5,1,0,0,1,0,0,NO,2,"The conditional clause makes sense because the program is checking if any offset was included. The conditional statment being checked will be false for the provided input because hours is not zero (and minutes are not zero; but since it's an ""and"" statement that doesn't matter) so line 274 will not run and it cannot be the source of the problem. ",3,3,1557AI-3a0g03-3,5,Other,10,27,Female,High School;University,USA,Java
141,HIT01_8,3,79.257,1,5,0,0,1,0,0,NO,2,These line don't apply. ,3,1,3AI7C4g38-9,3,Hobbyist,12,28,Male,High School;Web,United States,HTML
142,HIT01_8,3,80.128,5,2,0,0,1,0,0,NO,2,hour range is 0 to 23 both positive and negative and a valid check,3,1,139ga6a-3G761,5,Professional_Developer,4,25,Male,University,India,JAVA
143,HIT01_8,3,159.549,5,2,0,0,1,0,0,NO,2,"This conditional is not satisfied by the input. Plus if this exception were raised the exception message would say ""Hours out of range"" instead of minutes. The exception is coming from line 280.",3,1,33ac-3i3I5-8-3:72ag4C-7e4-1-9,5,Hobbyist,13,39,Male,Web,United States of America,Python; Elixir
144,HIT01_8,3,131.033,5,1,0,0,1,0,0,NO,2,No issue on 276 to 278. The error will happen on line 279 when a check for minutesOffset is done. At this point an IllegalArgumentException will be thrown on line 280. ,3,1,94CA2E-8e-485:14aa-9a8A-9-86,5,Professional_Developer,15,45,Male,High School;University;Web,USA,HTML; CSS
145,HIT01_8,3,73.867,5,1,0,0,1,0,0,NO,2,This error handling code is consistent with the functionality indicated by the comments.,3,1,208Ic-2C0G2-11,5,Other,20,35,Male,High School;University,US,c++
146,HIT01_8,3,105.483,5,1,0,0,1,0,0,NO,2,"The error message states ""Minutes out of range"" yet the code between lines 276-278 state ""Hours out of range."" Looking at the rest of the code; the -15 parameter refers to minutesOffSet so it wasn't being tested.",3,1,235ec8G6c-82-6,5,Hobbyist,1,25,Male,University;Web,United States,Java
147,HIT01_8,3,106.39,5,2,0,0,1,0,0,NO,2,The if statement in line 276 allows a negative hourOffset to -23; so a -2 hourOffset that was passed would be acceptable. The exception is thrown at line 280; where the minuteOffset is evaluated.,3,1,21Ig2A-5e0-88:292CE-5a2c86-4:60ei9e-5I04-3,4,Professional_Developer,12,27,Male,High School;University;Web,United States,C#; Python
148,HIT01_8,3,48.024,5,1,0,0,1,0,0,NO,2,As stated in the earlier question; the issue lies in the input. ,3,1,502Ia1G-7i-502,5,Hobbyist,15,29,Male,Other Self Help Books,India,VB.Net; SQL
149,HIT01_8,3,100.181,5,3,0,0,1,0,0,NO,2,No the exception was thrown at line 280 because the minutesOffset passed to the method is < 0.,3,1,9gG8A-6g-1-55:601eI7I-3a-5-5-6,4,Professional_Developer,5,30,Male,University,United States,C#
150,HIT01_8,3,634.609,2,4,0,0,1,0,0,NO,2,"The conditional clause between lines 276 and 278 seem to checking the hour value to determine if it is in the correct range which is between -23 and 23. Since the hour value appears to be valid as the IllegalArgumentException ""Hours out of range"" is not thrown; the issue does not seem to be in these lines.  ",3,1,659ei-2E2a2-1-2,5,Hobbyist,1,30,Female,University,united states,none
151,HIT01_8,3,94.979,0,5,0,0,0,0,0,IDK,2,"Actually; I didn't pay close enough attention in the last one. I think that I didn't realize that I'm completely unfamiliar with ""throw"" -- does throw even exist in python? Maybe it does; but I haven't learned about it yet; I'm still not very good at programming..",3,1,1457Ee7C-8c4-51:836Ii-6G-5c-819,3,Undergraduate_Student,2,21,Female,University,United States,Python
152,HIT01_8,3,133.565,4,2,0,0,1,0,0,NO,2,The statement in line 276 checks houroffset between -23 and 23.If the value exceeds that limit it will result only  in hour out of range exception.,3,1,1473AA6C1c-25-6,4,Professional_Developer,9,33,Female,University,india,PHP
153,HIT01_8,3,472.212,4,4,0,0,1,0,0,NO,2,That exception is for minutes out of range while the lines highlighted are for hours. ,3,1,1494IE-6g9G9-48,4,Hobbyist,8,19,Male,High School;University;Web,usa,python
154,HIT01_8,3,154.19,5,1,0,0,1,0,0,NO,2,The issue is pretty clearly in lines 279-281. You considered -02:15 to be (-2;-15) however your logic is set up so that a negative minute offset throws an illeg arg exception. Either always have the minute offset be positive or change the conditions in that line. Depending on what you choose; make sure you alter lines 285-290 as well. ,3,1,1519cI0C0C5-18,4,Undergraduate_Student,2,21,Male,University,USA,C
155,HIT01_8,3,88.125,5,3,0,0,1,0,0,NO,2,This code segment is fine and gives and error message if the user does not follow rules of useage,3,1,1522GC0e-3c50-8,5,Undergraduate_Student,2,20,Male,University,United States,c++
156,HIT01_8,3,115.06,4,4,0,0,0,0,1,YES,2,there's time mentioned in negative which is out of range for language,3,1,1535eC4G4g-8-85:827Ca-4g2e-90-5,5,Professional_Developer,1,25,Male,University,India,JAVA
157,HIT01_8,3,37.12,4,3,0,0,1,0,0,NO,2," if (minutesOffset < 0 || minutesOffset > 59) {              throw new IllegalArgumentException(""Minutes out of range: "" + minutesOffset);          }",3,1,1559gE-3I4e-4-52,4,Professional_Developer,7,32,Female,University,USA,C;C++;Java
158,HIT01_8,3,165.434,5,2,0,0,1,0,0,NO,2,Similar to the previous question; lines 276 and 278 did not cause the failure because the failure states that the minutesoffset were out of range (causing an illegal argument exception) while lines 276 and 278 deal solely with the hoursoffset.,3,1,1574eC4g2e-1-31,3,Undergraduate_Student,1,18,Female,High School,United States,java
159,HIT01_8,3,264.833,4,2,0,0,1,0,0,NO,2,As the value send is -2; the hoursoffset value will not be less than -23 or greater than 23,3,1,1582ai0e2I065,5,Graduate_Student,2,24,Male,University;Web,India,C; java
160,HIT01_8,3,97.47,5,1,0,0,1,0,0,NO,2,The error message indicates that the failure occurs on line 280.,3,1,1592Eg1I-7A9-5-4,5,Professional_Developer,12,30,Male,High School;University;Web,United States,Java
241,HIT01_8,4,93.045,4,2,1,0,0,1,0,NO,2,The minute variable was negative therefore; it threw the exception because it only takes numbers between 0 and 59 for minutes.,3,2,832cg-7G1i-462:73eI-8E-2g-985,5,Undergraduate_Student,7,21,Male,High School,United States,Java; C++; C#
242,HIT01_8,4,60.89,5,1,1,1,0,0,0,YES,2,the conditional clause throws an error if the value of minutes is smaller than zero,3,2,98ce7A-4i-507,4,Undergraduate_Student,10,25,Female,High School;University;Web,United States,c#
243,HIT01_8,4,218.695,5,4,1,1,0,0,0,YES,2,The argument -15 is less than 0; which causes the if statement conditional on line 279 to pass. This results in the exception on line 280 being thrown. According to the comment block above the method; minutesOffset should be checked for below -59 or above 59.,3,2,881AC0I2E-625:135cI3E-7e8-86,5,Professional_Developer,7,24,Male,High School;University;Web,United States,C++;Java;PHP
244,HIT01_8,4,42.667,3,5,1,1,0,0,0,YES,2,There may be an issue as it involves not indigenous java,3,2,188aC8i1a150,5,Professional_Developer,4,27,Female,University;Web,India,Java;C++
245,HIT01_8,4,93.64,5,1,1,1,0,0,0,YES,2,According to the comments; the minute value should be between -59 and +59; but the conditional statement is checking for a value between 0 and 59.,3,2,270eG-5c6A3-46:65eI-2i-2I-9-36,5,Professional_Developer,20,38,Male,High School;University;Other On the job,USA,C#
246,HIT01_8,4,189.911,5,1,1,0,0,1,0,NO,2,There is not an issue with this portion of the code; in fact this is where the exception we receive is thrown.  Therefore the issue probably occurs before we reach this part of the code; such as when the arguments are passed into the method.,3,2,844Cg1g5e1-17:255ei-8G8E85-8,3,Undergraduate_Student,5,19,Male,High School;University;Web,United States,C++; Java
247,HIT01_8,4,148.875,5,1,1,1,0,0,0,YES,2,Yes; this line is exactly the one that produces the exception when minutesOffset is <0. As minutesOffset; being the second argument in the function; gets the value -15 in the call to DateTimeZone.forOffsetHoursMinutes(-2; -15),3,2,59gA3i5E2-7-9:249IE-2a8E-92-1,5,Graduate_Student,12,40,Male,University;Web,Colombia,C++
248,HIT01_8,4,141.524,5,1,1,1,0,0,0,YES,2,You are passing it a negative offset value (-15) and the conditionals are set to reject any offset that is less than 0 or greater than 59 and throw a new exception.,3,2,656AI5G0i-32-5,4,Undergraduate_Student,4,20,Male,University;Web,USA,Java; PHP; HTML
249,HIT01_8,4,233.341,4,3,1,1,0,0,0,YES,2,the code is incomplete. it properly checks for greater than 59 but neglects to take into account if the hours are negative before rejecting minutes for being negative. it would be more correct though not completely to check for less than -59 instead of less than 0,3,2,452Ig6c-9G-502:768Ga1I8G-27-2:69eC6i-8G00-4,4,Hobbyist,35,59,Male,University;Web;Other self study,USA,Euphoria
250,HIT01_8,4,137.595,3,5,1,0,0,1,0,NO,1,It will return the offset,3,2,40Ge-1c-3I-31-7,4,Professional_Developer,3,23,Male,University,India,HTML
251,HIT01_8,4,40.701,0,5,1,0,0,1,0,IDK,1,am not good in thus questanaire,3,2,1338Ag-4A7i-4-85,3,Graduate_Student,2,26,Male,University;Web,USA,java
252,HIT01_8,4,271.58,5,1,1,1,0,0,0,YES,1,"Line 279 written as ""minutesOffset < 0"" makes it clear it's the one throwing the Exception; as the -15 in the minutes spot is clearly less than 0.",3,2,1456eI-3g8a-22-2:488gG-7E2G-8-68,4,Other,2.5,24,Male,High School;Other Training classes,United States,Do not currently use
253,HIT01_8,4,138.806,5,1,1,1,0,0,0,YES,1,this cause assumes all negative minutes are bad. from the comment; negative minutes are ok when the hours are negative too. the comments specifically say its bad when the mins are negative but the hours are positive. there is a line break in the middle of that part of the comment which could lead a programmer to miss half of the info.,3,2,1471CA8i0C-225,5,Other,15,39,Female,University,US,Python
254,HIT01_8,4,155.351,5,3,1,1,0,0,0,YES,1,"Yes ; this conditional clause is exactly the place from where the exception is thrown ; because it is not in valid range of ""minutes""",3,2,1504ic8g0I130:312cI-5a9I-1-82:10eG-8i5a-618,5,Professional_Developer,8,33,Male,Web,India,C#
255,HIT01_8,4,32.826,4,3,1,1,0,0,0,YES,1,It's because of second line negative value.,3,2,1520Ea3c0E3-65:9AI0g4a-386,5,Graduate_Student,3,24,Male,University;Web,India,Java
256,HIT01_8,4,50.738,5,1,1,1,0,0,0,YES,1,This conditional will reject any negative minute input; even if the hour input is also negative.,3,2,172Cg2C7i-8-1-4,3,Graduate_Student,6,33,Female,High School;University;Other work,US,Java
257,HIT01_8,4,35.532,5,1,1,1,0,0,0,YES,1,This is the argument exception thrown.,3,2,15GG-1G-6I44-8:1540CE2g-7G26-4,5,Professional_Developer,10,32,Male,University;Web,USA,php
258,HIT01_8,4,39.864,5,1,1,1,0,0,0,YES,1,-15 is less then 0; so it throws IllegalArgumentException,3,2,1569GA-9C0a903,5,Professional_Developer,7,28,Male,University,USA,visual foxpro
259,HIT01_8,4,644.626,5,2,1,1,0,0,0,YES,1,Value passed in minutes -15;where as it checks (<0 | >53).,3,2,1558IC6A2G07-8,3,Professional_Developer,7,35,Male,University;Other private institute,INDIA,Java
260,HIT01_8,4,542.43,5,4,1,0,0,1,0,NO,1,DateTimeZone.forOffsetHoursMinutes(-2; -15) is an invalid argument so it will directly throw an exception. Hence there is no issue between the conditional statement.,3,2,1566Gg-1I7G-1-4-3,4,Professional_Developer,2,24,Male,University,canada,java; plsql
381,HIT01_8,5,323.388,1,3,0,0,1,1,0,NO,2,I don't think it ever goes that far into code to cause an issue because if statement checks if minutes are less then 0 or greater then 59 and -15 is less then 0,1,1,35Eg-6i-8G-2-6-8,3,Undergraduate_Student,3,49,Female,University,US,php
382,HIT01_8,5,27.038,5,1,0,0,1,1,0,NO,2,The problem is at line 279 which prevents a negative minutes value being accepted even though the programmer comments indicate that since version 2.3 negative minutes up to -59 are acceptable. The @throws IllegalArgumentException comment is also referring to versions before 2.3.,1,1,27Ei-8i0A-3-59:15cG-7i7C996,3,Professional_Developer,23,44,Male,High School;University,USA,RPG; Visual Basic
383,HIT01_8,5,118.128,5,1,0,0,1,1,0,NO,2,This is a variable used to calculate the offset; and the error is happening above this,1,1,286Ig-9C0E170,5,Undergraduate_Student,5,20,Male,University;Web,USA,c#
